value,key
14,2011-01-12 14-02
26,2011-01-12 14-03
17,2011-01-12 14-04
1,2011-01-12 14-05
27,2011-01-12 14-06
27,2011-01-12 14-07
26,2011-01-12 14-08
21,2011-01-12 14-09
19,2011-01-12 14-10
15,2011-01-12 14-11
23,2011-01-12 14-12
14,2011-01-12 14-13
21,2011-01-12 14-14
27,2011-01-12 14-15
16,2011-01-12 14-16
12,2011-01-12 14-17
15,2011-01-12 14-18
21,2011-01-12 14-19
16,2011-01-12 14-20
14,2011-01-12 14-21
15,2011-01-12 14-22
14,2011-01-12 14-23
19,2011-01-12 14-24
32,2011-01-12 14-25
16,2011-01-12 14-26
21,2011-01-12 14-27
15,2011-01-12 14-28
25,2011-01-12 14-29
15,2011-01-12 14-30
13,2011-01-12 14-31
16,2011-01-12 14-32
26,2011-01-12 14-33
14,2011-01-12 14-34
13,2011-01-12 14-35
17,2011-01-12 14-36
16,2011-01-12 14-37
20,2011-01-12 14-38
14,2011-01-12 14-39
17,2011-01-12 14-40
14,2011-01-12 14-41
17,2011-01-12 14-42
11,2011-01-12 14-43
20,2011-01-12 14-44
23,2011-01-12 14-45
22,2011-01-12 14-46
25,2011-01-12 14-47
18,2011-01-12 14-48
11,2011-01-12 14-49
11,2011-01-12 14-50
18,2011-01-12 14-51
19,2011-01-12 14-52
33,2011-01-12 14-53
19,2011-01-12 14-54
10,2011-01-12 14-55
16,2011-01-12 14-56
28,2011-01-12 14-57
22,2011-01-12 14-58
24,2011-01-12 14-59
24,2011-01-12 15-00
16,2011-01-12 15-01
14,2011-01-12 15-02
22,2011-01-12 15-03
14,2011-01-12 15-04
27,2011-01-12 15-05
19,2011-01-12 15-06
9,2011-01-12 15-07
11,2011-01-12 15-08
22,2011-01-12 15-09
25,2011-01-12 15-10
20,2011-01-12 15-11
15,2011-01-12 15-12
17,2011-01-12 15-13
13,2011-01-12 15-14
14,2011-01-12 15-15
14,2011-01-12 15-16
13,2011-01-12 15-17
17,2011-01-12 15-18
12,2011-01-12 15-19
16,2011-01-12 15-20
16,2011-01-12 15-21
12,2011-01-12 15-22
12,2011-01-12 15-23
17,2011-01-12 15-24
10,2011-01-12 15-25
13,2011-01-12 15-26
12,2011-01-12 15-27
15,2011-01-12 15-28
13,2011-01-12 15-29
12,2011-01-12 15-30
11,2011-01-12 15-31
3,2011-01-12 15-32
10,2011-01-12 15-33
12,2011-01-12 15-34
12,2011-01-12 15-35
13,2011-01-12 15-36
11,2011-01-12 15-37
10,2011-01-12 15-38
9,2011-01-12 15-39
16,2011-01-12 15-40
11,2011-01-12 15-41
7,2011-01-12 15-42
12,2011-01-12 15-43
8,2011-01-12 15-44
5,2011-01-12 15-45
12,2011-01-12 15-46
15,2011-01-12 15-47
8,2011-01-12 15-48
8,2011-01-12 15-49
8,2011-01-12 15-50
7,2011-01-12 15-51
9,2011-01-12 15-52
7,2011-01-12 15-53
9,2011-01-12 15-54
10,2011-01-12 15-55
14,2011-01-12 15-56
5,2011-01-12 15-57
12,2011-01-12 15-58
16,2011-01-12 15-59
15,2011-01-12 16-00
10,2011-01-12 16-01
13,2011-01-12 16-02
8,2011-01-12 16-03
10,2011-01-12 16-04
8,2011-01-12 16-05
16,2011-01-12 16-06
7,2011-01-12 16-07
16,2011-01-12 16-08
9,2011-01-12 16-09
5,2011-01-12 16-10
11,2011-01-12 16-11
7,2011-01-12 16-12
13,2011-01-12 16-13
7,2011-01-12 16-14
3,2011-01-12 16-15
7,2011-01-12 16-16
9,2011-01-12 16-17
10,2011-01-12 16-18
12,2011-01-12 16-19
15,2011-01-12 16-20
10,2011-01-12 16-21
7,2011-01-12 16-22
7,2011-01-12 16-23
7,2011-01-12 16-24
12,2011-01-12 16-25
7,2011-01-12 16-26
11,2011-01-12 16-27
12,2011-01-12 16-28
6,2011-01-12 16-29
12,2011-01-12 16-30
9,2011-01-12 16-31
10,2011-01-12 16-32
13,2011-01-12 16-33
7,2011-01-12 16-34
12,2011-01-12 16-35
9,2011-01-12 16-36
8,2011-01-12 16-37
9,2011-01-12 16-38
4,2011-01-12 16-39
13,2011-01-12 16-40
6,2011-01-12 16-41
14,2011-01-12 16-42
9,2011-01-12 16-43
10,2011-01-12 16-44
22,2011-01-12 16-45
15,2011-01-12 16-46
7,2011-01-12 16-47
8,2011-01-12 16-48
9,2011-01-12 16-49
7,2011-01-12 16-50
10,2011-01-12 16-51
10,2011-01-12 16-52
5,2011-01-12 16-53
8,2011-01-12 16-54
10,2011-01-12 16-55
6,2011-01-12 16-56
4,2011-01-12 16-57
15,2011-01-12 16-58
7,2011-01-12 16-59
9,2011-01-12 17-00
5,2011-01-12 17-01
12,2011-01-12 17-02
7,2011-01-12 17-03
10,2011-01-12 17-04
11,2011-01-12 17-05
8,2011-01-12 17-06
6,2011-01-12 17-07
15,2011-01-12 17-08
4,2011-01-12 17-09
6,2011-01-12 17-10
7,2011-01-12 17-11
7,2011-01-12 17-12
6,2011-01-12 17-13
9,2011-01-12 17-14
4,2011-01-12 17-15
8,2011-01-12 17-16
6,2011-01-12 17-17
7,2011-01-12 17-18
7,2011-01-12 17-19
6,2011-01-12 17-20
5,2011-01-12 17-21
8,2011-01-12 17-22
7,2011-01-12 17-23
7,2011-01-12 17-24
6,2011-01-12 17-25
4,2011-01-12 17-26
5,2011-01-12 17-27
11,2011-01-12 17-28
4,2011-01-12 17-29
6,2011-01-12 17-30
9,2011-01-12 17-31
11,2011-01-12 17-32
6,2011-01-12 17-33
5,2011-01-12 17-34
5,2011-01-12 17-35
5,2011-01-12 17-36
9,2011-01-12 17-37
5,2011-01-12 17-38
1,2011-01-12 17-39
4,2011-01-12 17-40
2,2011-01-12 17-41
3,2011-01-12 17-42
4,2011-01-12 17-43
4,2011-01-12 17-44
1,2011-01-12 17-45
5,2011-01-12 17-46
9,2011-01-12 17-47
8,2011-01-12 17-48
1,2011-01-12 17-49
5,2011-01-12 17-50
2,2011-01-12 17-51
10,2011-01-12 17-52
6,2011-01-12 17-53
6,2011-01-12 17-54
4,2011-01-12 17-55
2,2011-01-12 17-56
5,2011-01-12 17-57
3,2011-01-12 17-59
2,2011-01-12 18-00
2,2011-01-12 18-01
1,2011-01-12 18-02
2,2011-01-12 18-03
3,2011-01-12 18-04
2,2011-01-12 18-05
3,2011-01-12 18-06
7,2011-01-12 18-07
10,2011-01-12 18-08
5,2011-01-12 18-09
4,2011-01-12 18-10
3,2011-01-12 18-11
3,2011-01-12 18-12
2,2011-01-12 18-13
1,2011-01-12 18-14
2,2011-01-12 18-15
2,2011-01-12 18-16
1,2011-01-12 18-17
3,2011-01-12 18-18
1,2011-01-12 18-19
6,2011-01-12 18-20
3,2011-01-12 18-21
4,2011-01-12 18-22
3,2011-01-12 18-23
2,2011-01-12 18-24
1,2011-01-12 18-25
4,2011-01-12 18-26
3,2011-01-12 18-27
4,2011-01-12 18-28
2,2011-01-12 18-29
2,2011-01-12 18-30
6,2011-01-12 18-31
4,2011-01-12 18-32
1,2011-01-12 18-33
2,2011-01-12 18-35
6,2011-01-12 18-36
6,2011-01-12 18-37
3,2011-01-12 18-38
3,2011-01-12 18-39
6,2011-01-12 18-40
3,2011-01-12 18-41
2,2011-01-12 18-42
4,2011-01-12 18-43
3,2011-01-12 18-44
3,2011-01-12 18-45
2,2011-01-12 18-46
3,2011-01-12 18-47
5,2011-01-12 18-48
3,2011-01-12 18-49
3,2011-01-12 18-50
4,2011-01-12 18-51
4,2011-01-12 18-52
2,2011-01-12 18-53
4,2011-01-12 18-54
2,2011-01-12 18-55
3,2011-01-12 18-56
3,2011-01-12 18-57
3,2011-01-12 18-58
1,2011-01-12 18-59
1,2011-01-12 19-00
4,2011-01-12 19-01
1,2011-01-12 19-02
1,2011-01-12 19-03
3,2011-01-12 19-04
3,2011-01-12 19-05
3,2011-01-12 19-06
7,2011-01-12 19-07
1,2011-01-12 19-08
2,2011-01-12 19-09
2,2011-01-12 19-10
3,2011-01-12 19-11
4,2011-01-12 19-12
1,2011-01-12 19-13
3,2011-01-12 19-14
5,2011-01-12 19-15
1,2011-01-12 19-16
4,2011-01-12 19-18
2,2011-01-12 19-19
2,2011-01-12 19-20
1,2011-01-12 19-21
1,2011-01-12 19-22
2,2011-01-12 19-23
4,2011-01-12 19-24
3,2011-01-12 19-25
4,2011-01-12 19-26
5,2011-01-12 19-27
5,2011-01-12 19-28
4,2011-01-12 19-29
5,2011-01-12 19-30
6,2011-01-12 19-31
2,2011-01-12 19-32
1,2011-01-12 19-33
1,2011-01-12 19-34
3,2011-01-12 19-35
3,2011-01-12 19-36
5,2011-01-12 19-37
1,2011-01-12 19-38
1,2011-01-12 19-39
5,2011-01-12 19-40
2,2011-01-12 19-41
5,2011-01-12 19-42
3,2011-01-12 19-43
1,2011-01-12 19-44
2,2011-01-12 19-45
4,2011-01-12 19-46
7,2011-01-12 19-47
3,2011-01-12 19-48
5,2011-01-12 19-49
8,2011-01-12 19-50
3,2011-01-12 19-51
5,2011-01-12 19-52
3,2011-01-12 19-53
4,2011-01-12 19-54
1,2011-01-12 19-55
6,2011-01-12 19-56
3,2011-01-12 19-57
5,2011-01-12 19-58
4,2011-01-12 19-59
6,2011-01-12 20-00
2,2011-01-12 20-01
5,2011-01-12 20-02
4,2011-01-12 20-03
4,2011-01-12 20-04
13,2011-01-12 20-05
10,2011-01-12 20-06
5,2011-01-12 20-07
1,2011-01-12 20-08
3,2011-01-12 20-09
2,2011-01-12 20-10
3,2011-01-12 20-12
7,2011-01-12 20-13
6,2011-01-12 20-14
3,2011-01-12 20-15
2,2011-01-12 20-16
3,2011-01-12 20-17
3,2011-01-12 20-18
4,2011-01-12 20-19
8,2011-01-12 20-20
3,2011-01-12 20-21
4,2011-01-12 20-22
2,2011-01-12 20-23
5,2011-01-12 20-24
5,2011-01-12 20-25
3,2011-01-12 20-26
2,2011-01-12 20-27
3,2011-01-12 20-28
5,2011-01-12 20-29
1,2011-01-12 20-30
1,2011-01-12 20-31
5,2011-01-12 20-32
2,2011-01-12 20-33
2,2011-01-12 20-34
3,2011-01-12 20-35
2,2011-01-12 20-36
2,2011-01-12 20-37
5,2011-01-12 20-38
1,2011-01-12 20-39
1,2011-01-12 20-40
1,2011-01-12 20-41
2,2011-01-12 20-42
7,2011-01-12 20-43
1,2011-01-12 20-44
8,2011-01-12 20-45
3,2011-01-12 20-46
5,2011-01-12 20-47
3,2011-01-12 20-48
4,2011-01-12 20-49
14,2011-01-12 20-50
6,2011-01-12 20-51
4,2011-01-12 20-52
5,2011-01-12 20-53
9,2011-01-12 20-54
9,2011-01-12 20-55
5,2011-01-12 20-56
2,2011-01-12 20-57
6,2011-01-12 20-58
6,2011-01-12 20-59
4,2011-01-12 21-00
8,2011-01-12 21-01
5,2011-01-12 21-02
9,2011-01-12 21-03
5,2011-01-12 21-04
17,2011-01-12 21-05
16,2011-01-12 21-06
9,2011-01-12 21-07
2,2011-01-12 21-08
3,2011-01-12 21-09
8,2011-01-12 21-10
5,2011-01-12 21-11
1,2011-01-12 21-12
3,2011-01-12 21-13
7,2011-01-12 21-14
6,2011-01-12 21-15
4,2011-01-12 21-16
5,2011-01-12 21-17
3,2011-01-12 21-18
3,2011-01-12 21-19
5,2011-01-12 21-20
9,2011-01-12 21-21
4,2011-01-12 21-22
6,2011-01-12 21-23
7,2011-01-12 21-24
4,2011-01-12 21-25
7,2011-01-12 21-26
5,2011-01-12 21-27
7,2011-01-12 21-28
1,2011-01-12 21-29
11,2011-01-12 21-30
7,2011-01-12 21-31
2,2011-01-12 21-32
1,2011-01-12 21-33
4,2011-01-12 21-34
5,2011-01-12 21-35
3,2011-01-12 21-36
3,2011-01-12 21-37
5,2011-01-12 21-38
5,2011-01-12 21-39
8,2011-01-12 21-40
8,2011-01-12 21-41
4,2011-01-12 21-42
4,2011-01-12 21-43
2,2011-01-12 21-44
5,2011-01-12 21-45
8,2011-01-12 21-46
2,2011-01-12 21-47
3,2011-01-12 21-48
5,2011-01-12 21-49
4,2011-01-12 21-50
7,2011-01-12 21-51
3,2011-01-12 21-52
7,2011-01-12 21-53
3,2011-01-12 21-54
5,2011-01-12 21-55
6,2011-01-12 21-56
5,2011-01-12 21-57
4,2011-01-12 21-59
6,2011-01-12 22-00
1,2011-01-12 22-01
3,2011-01-12 22-02
4,2011-01-12 22-03
8,2011-01-12 22-04
16,2011-01-12 22-05
22,2011-01-12 22-06
8,2011-01-12 22-07
4,2011-01-12 22-08
7,2011-01-12 22-09
5,2011-01-12 22-10
6,2011-01-12 22-11
4,2011-01-12 22-12
4,2011-01-12 22-13
4,2011-01-12 22-14
7,2011-01-12 22-15
3,2011-01-12 22-16
2,2011-01-12 22-17
1,2011-01-12 22-18
3,2011-01-12 22-19
2,2011-01-12 22-20
3,2011-01-12 22-21
4,2011-01-12 22-22
3,2011-01-12 22-23
6,2011-01-12 22-24
4,2011-01-12 22-25
2,2011-01-12 22-26
2,2011-01-12 22-27
5,2011-01-12 22-28
4,2011-01-12 22-29
11,2011-01-12 22-30
7,2011-01-12 22-31
2,2011-01-12 22-32
7,2011-01-12 22-33
10,2011-01-12 22-34
14,2011-01-12 22-35
6,2011-01-12 22-36
10,2011-01-12 22-37
12,2011-01-12 22-38
13,2011-01-12 22-39
15,2011-01-12 22-40
10,2011-01-12 22-41
7,2011-01-12 22-42
9,2011-01-12 22-43
8,2011-01-12 22-44
13,2011-01-12 22-45
3,2011-01-12 22-46
14,2011-01-12 22-47
10,2011-01-12 22-48
8,2011-01-12 22-49
10,2011-01-12 22-50
9,2011-01-12 22-51
4,2011-01-12 22-52
7,2011-01-12 22-53
6,2011-01-12 22-54
