relevant_percent_user_gets_retweeted,irrelevant_total,followers_percentile,created_at,screen_name,relevant_percent_original_tweets,irrelevant_percent_user_retweets,friends_count,relevant_total,irrelevant_percent_user_gets_retweeted,friends_percentile,irrelevant_percent_original_tweets,irrelevant_user_gets_retweeted,statuses_count,relevant_percent_user_retweets,irrelevant_user_retweets,followers_count,statuses_percentile
0.666666666666667,33,0.883609461289986,2009-02-07 13:59:57,Tom_El_Rumi,1.0,0.0,300,27,0.727272727272727,0.883609461289986,1.0,24,3949,0.0,0,1089,0.883609461289986
0.75,1,0.926122746691674,2010-06-16 09:03:04,RHelmii,1.0,0.0,82,4,1.0,0.926122746691674,1.0,1,3426,0.0,0,1626,0.926122746691674
1.0,8,0.959362300718975,2011-01-25 01:02:44,Alshaheeed,1.0,0.0,11,3,1.0,0.959362300718975,1.0,8,362,0.0,0,2717,0.959362300718975
0.852631578947368,47,0.958164009586329,2008-12-22 14:01:49,occupiedcairo,1.0,0.0,459,95,0.51063829787234,0.958164009586329,1.0,24,1252,0.0,0,2634,0.958164009586329
n/a,n/a,0.939303949150776,2007-09-14 22:36:33,Asadx,n/a,n/a,398,n/a,n/a,0.939251849536313,n/a,"",2043,n/a,"",1947,0.939251849536313
0.840909090909091,258,0.931619256017506,2009-02-10 18:06:41,Selnadeem,1.0,0.0,391,44,0.647286821705426,0.931619256017506,1.0,167,7935,0.0,0,1745,0.931619256017506
0.6875,42,0.907757632593519,2009-03-04 12:48:56,Wa7damasrya,1.0,0.0,172,16,0.642857142857143,0.90778368240075,1.0,27,790,0.0,0,1354,0.90778368240075
0.375,126,0.94211732833177,2009-04-27 09:33:35,matthewteller,1.0,0.0,705,8,0.174603174603175,0.94211732833177,1.0,22,8244,0.0,0,2027,0.94211732833177
1.0,113,0.98702719599875,2008-10-16 01:25:33,avinunu,1.0,0.0,636,34,0.734513274336283,0.98702719599875,1.0,83,31209,0.0,0,7907,0.98702719599875
0.735294117647059,181,0.9658487027196,2007-07-25 08:40:42,lisang,1.0,0.0,678,34,0.298342541436464,0.9658487027196,1.0,54,14679,0.0,0,3168,0.9658487027196
1.0,4,0.920235490257372,2009-04-09 17:49:03,anjucomet,1.0,0.0,103,1,0.75,0.920235490257372,1.0,3,280,0.0,0,1524,0.920235490257372
n/a,n/a,0.927399187246014,2009-12-04 20:44:38,aGharbeia,n/a,n/a,206,n/a,n/a,0.927399187246014,n/a,"",2691,n/a,"",1647,0.927399187246014
0.73015873015873,58,0.899630092737314,2010-06-13 03:43:06,Firas_Atraqchi,1.0,0.0,170,63,0.344827586206897,0.899630092737314,1.0,20,4134,0.0,0,1256,0.899630092737314
n/a,n/a,0.971788058768365,2008-06-22 09:59:00,gamaleid,n/a,n/a,866,n/a,n/a,0.971788058768365,n/a,"",6221,n/a,"",3738,0.971788058768365
n/a,n/a,0.916067521100344,2007-12-05 14:04:11,wnawara,n/a,n/a,178,n/a,n/a,0.916067521100344,n/a,"",5972,n/a,"",1462,0.916067521100344
n/a,n/a,0.949749921850578,2007-03-26 01:44:58,Gue3bara,n/a,n/a,196,n/a,n/a,0.949749921850578,n/a,"",10188,n/a,"",2257,0.949749921850578
n/a,n/a,0.926539543607377,2007-10-02 04:42:26,raafatology,n/a,n/a,218,n/a,n/a,0.926539543607377,n/a,"",13291,n/a,"",1631,0.926539543607377
n/a,n/a,0.763181202459102,2009-06-17 06:51:45,h_a_nassar,n/a,n/a,579,n/a,n/a,0.76315515265187,n/a,"",7792,n/a,"",484,0.76315515265187
n/a,n/a,0.887282484109618,2010-10-15 22:23:53,amira_nosseir,n/a,n/a,387,n/a,n/a,0.887282484109618,n/a,"",8396,n/a,"",1125,0.887282484109618
n/a,n/a,0.976424924455559,2010-06-21 17:55:11,elshaheeed,n/a,n/a,200,n/a,n/a,0.976424924455559,n/a,"",3816,n/a,"",4516,0.976424924455559
n/a,1,0.929639470667917,2009-12-31 11:19:29,thawrah,n/a,0.0,1159,n/a,0.0,0.929639470667917,1.0,0,32228,n/a,0,1698,0.929639470667917
0.647058823529412,62,0.825674690007294,2009-12-06 12:27:00,reemabdellatif,1.0,0.0,300,17,0.806451612903226,0.825648640200062,1.0,50,2093,0.0,0,712,0.825648640200062
1.0,44,0.977519016359279,2009-04-30 07:52:19,jnoubiyeh,1.0,0.0,166,1,0.977272727272727,0.977519016359279,1.0,43,4258,0.0,0,4727,0.977519016359279
0.838235294117647,264,0.96694279462332,2011-01-16 23:27:33,arabrevolution,1.0,0.0,137,68,0.590909090909091,0.96694279462332,1.0,156,2801,0.0,0,3246,0.96694279462332
0.5,46,0.978300510576222,2009-02-12 21:13:12,habibh,1.0,0.0,797,2,0.869565217391304,0.978300510576222,1.0,40,4631,0.0,0,4883,0.978300510576222
n/a,n/a,0.991872460143795,2009-04-30 10:48:51,almasryalyoum_a,n/a,n/a,64,n/a,n/a,0.991872460143795,n/a,"",9278,n/a,"",13637,0.991872460143795
n/a,2,0.952172553923101,2009-06-10 21:25:23,kalimakhus,n/a,0.0,1152,n/a,0.0,0.952172553923101,1.0,0,57442,n/a,0,2362,0.952172553923101
1.0,n/a,0.991429613420861,2010-04-27 14:59:43,dostornews,1.0,n/a,3,1,n/a,0.991429613420861,n/a,"",12867,0.0,"",12670,0.991429613420861
0.942528735632184,566,0.970381369177868,2010-10-15 00:48:57,salmaeldaly,1.0,0.0,465,87,0.614840989399293,0.970381369177868,1.0,348,8548,0.0,0,3570,0.970381369177868
n/a,n/a,0.803584453475044,2010-10-28 13:53:44,minanaguib90,n/a,n/a,153,n/a,n/a,0.803610503282276,n/a,"",6752,n/a,"",615,0.803610503282276
1.0,121,0.985907054287798,2009-07-01 00:18:13,alialdafiri,1.0,0.0,82,1,0.206611570247934,0.985907054287798,1.0,25,2360,0.0,0,7291,0.985907054287798
0.5,26,0.979681150359487,2006-09-04 00:18:12,ahmed,1.0,0.0,1049,2,0.576923076923077,0.979681150359487,1.0,15,5703,0.0,0,5113,0.979681150359487
n/a,19,0.937714910909659,2009-05-14 14:35:40,demaghmak,n/a,0.0,125,n/a,0.210526315789474,0.937714910909659,1.0,4,8200,n/a,0,1903,0.937714910909659
n/a,n/a,0.964311764092946,2007-05-09 20:24:18,salamander,n/a,n/a,373,n/a,n/a,0.964311764092946,n/a,"",6826,n/a,"",3042,0.964311764092946
n/a,n/a,0.942586224861936,2007-11-17 01:41:19,tarawnah,n/a,n/a,253,n/a,n/a,0.942586224861936,n/a,"",6284,n/a,"",2041,0.942586224861936
